local,visitor,period,time,player,action,side,score_home,score_away
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:19,"KOUAKOU-HEUGUE, NOA",Two Pointer (5/6 - 11 pt),U18 Pole France INSEP Paris,9,11
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:19,"KOUAKOU-HEUGUE, NOA",Off Rebound (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:22,"KOUAKOU-HEUGUE, NOA",Missed Two Pointer (4/5 - 9 pt),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:40,"NAJI, AKRAM",Turnover (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:42,"HOUINDO, CAMERON",Assist (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,04:45,"KOUAKOU-HEUGUE, NOA",Two Pointer (4/4 - 9 pt),U18 Pole France INSEP Paris,9,9
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,05:00,,Time Out (1),U18 Pole France INSEP Paris,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,05:00,"NAJI, AKRAM",Assist (1),U18 Next Gen Team Belgrade,,
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,05:00,"KATANOVIC, BORNA",Two Pointer (1/1 - 2 pt),U18 Next Gen Team Belgrade,9,7
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,05:07,"KOUAKOU-HEUGUE, NOA",Two Pointer (3/3 - 7 pt),U18 Pole France INSEP Paris,7,7
U18 Next Gen Team Belgrade,U18 Pole France INSEP Paris,1er Cuarto,05:19,"PRATO, IVAN",Assist (1),U18 Next Gen Team Belgrade,,
