local,visitor,period,time,player,action,side,score_home,score_away
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:28,"GARAVAGLIA, DIEGO",Free Throw In (1/1 - 1 pt),U18 EA7 Emporio Armani Milan,12,17
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:28,"EL HADJI, MBOW",In,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:28,"CECCATO, MATTIA",Out,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:28,"AGAMI, ELI",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:28,"STOLLER, ROM",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:28,"GARAVAGLIA, DIEGO",Foul Drawn (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:28,"AGAMI, ELI",Foul (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:31,"SUIGO, LUIGI",Def Rebound (2),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:33,"BARAK, ERAN",Missed Three Pointer (0/3 - 0 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,04:49,"CECCATO, MATTIA",Three Pointer (1/1 - 5 pt),U18 EA7 Emporio Armani Milan,12,16
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,05:01,"SHALMON, IFTAH",Assist (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,05:03,"ARTMENKO, GABRIEL",Two Pointer (1/2 - 2 pt),U18 Maccabi Tel Aviv,12,13
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,05:23,"YOUSSEF, GUGLIELMO",Out,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,05:23,"KAREM, OMAR",In,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,05:23,"LONATI, ACHILLE",Turnover (2),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,05:27,"SUIGO, LUIGI",Def Rebound (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,05:29,"BARAK, ERAN",Missed Three Pointer (0/2 - 0 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,05:45,"LACHMANOVICH, ARBEL",Def Rebound (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,05:47,"GARAVAGLIA, DIEGO",Missed Three Pointer (0/1 - 0 pt),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:01,"AGAMI, ELI",Free Throw In (4/4 - 7 pt),U18 Maccabi Tel Aviv,10,13
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:01,"LACHMANOVICH, ARBEL",Assist (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:01,"AGAMI, ELI",Free Throw In (3/3 - 6 pt),U18 Maccabi Tel Aviv,9,13
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:01,"AGAMI, ELI",Foul Drawn (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:01,"GARAVAGLIA, DIEGO",Foul (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:16,"SHALMON, IFTAH",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:16,"DODO, NITAY",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:16,"LONATI, ACHILLE",Turnover (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:19,"GARAVAGLIA, DIEGO",Off Rebound (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:21,"LONATI, ACHILLE",Missed Three Pointer (1/2 - 3 pt),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:30,"BARAK, ERAN",Assist (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:33,"AGAMI, ELI",Three Pointer (1/1 - 5 pt),U18 Maccabi Tel Aviv,8,13
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,06:55,"YOUSSEF, GUGLIELMO",Two Pointer (2/2 - 4 pt),U18 EA7 Emporio Armani Milan,5,13
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,07:08,"LONATI, ACHILLE",Def Rebound (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,07:11,"BARAK, ERAN",Missed Three Pointer (0/1 - 0 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,07:23,"CECCATO, MATTIA",Two Pointer (1/1 - 2 pt),U18 EA7 Emporio Armani Milan,5,11
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,07:32,"AGAMI, ELI",Turnover (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,07:47,"CECCATO, MATTIA",Assist (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,07:49,"LONATI, ACHILLE",Three Pointer (1/1 - 3 pt),U18 EA7 Emporio Armani Milan,5,9
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:09,"AGAMI, ELI",Free Throw In (2/2 - 2 pt),U18 Maccabi Tel Aviv,5,6
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:09,"AGAMI, ELI",Free Throw In (1/1 - 1 pt),U18 Maccabi Tel Aviv,4,6
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:09,"AGAMI, ELI",Foul Drawn (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:09,"LONATI, ACHILLE",Foul (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:29,"LONATI, ACHILLE",Assist (2),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:31,"SUIGO, LUIGI",Two Pointer (2/2 - 4 pt),U18 EA7 Emporio Armani Milan,3,6
