local,visitor,period,time,player,action,side,score_home,score_away
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,08:18,"GOLD, TAMIR",Turnover (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,08:28,"PLACINSCHI, CESARE",Two Pointer (2/2 - 4 pt),U18 Dolomiti Energia Trento,2,4
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,08:34,"BARAK, ERAN",Assist (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,08:36,"GOLD, TAMIR",Two Pointer (1/1 - 2 pt),U18 Maccabi Tel Aviv,2,2
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,08:56,"PLACINSCHI, CESARE",Two Pointer (1/1 - 2 pt),U18 Dolomiti Energia Trento,0,2
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,09:11,"NIANG, CHEICKH",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,09:13,"LACHMANOVICH, ARBEL",Missed Two Pointer (0/1 - 0 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,09:31,"LACHMANOVICH, ARBEL",Def Rebound (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,09:33,"NIANG, CHEICKH",Missed Three Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,1er Cuarto,09:59,,,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,00:01,"TRIGGIANI, VITTORIO",Missed Three Pointer (0/1 - 2 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,00:08,"LUMENA, PRINCE",Def Rebound (3),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,00:10,"GOLD, TAMIR",Missed Three Pointer (0/1 - 4 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,00:31,,Time Out (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,00:31,"PLACINSCHI, CESARE",Assist (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,00:31,"TRIGGIANI, VITTORIO",Two Pointer (1/3 - 2 pt),U18 Dolomiti Energia Trento,31,21
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,00:49,"LACHMANOVICH, ARBEL",Two Pointer (2/4 - 5 pt),U18 Maccabi Tel Aviv,31,19
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:06,"BARAK, ERAN",Def Rebound (3),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:08,"PLACINSCHI, CESARE",Missed Two Pointer (2/5 - 4 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:19,"TRIGGIANI, VITTORIO",Off Rebound (3),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:24,"HASSAN, PATRICK",Missed Three Pointer (1/4 - 5 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:28,"MACHETTI, MARIO",Def Rebound (2),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:30,"BARAK, ERAN",Missed Three Pointer (0/1 - 0 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:39,"TRIGGIANI, VITTORIO",In,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:39,"CLAPS, MATTIA",Out,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:39,"LACHMANOVICH, ARBEL",Foul Drawn (3),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:39,"CLAPS, MATTIA",Foul (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:52,"LUMENA, PRINCE",Free Throw In (1/1 - 3 pt),U18 Dolomiti Energia Trento,29,19
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:52,"LUMENA, PRINCE",Foul Drawn (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:52,"LACHMANOVICH, ARBEL",Foul (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:52,"LUMENA, PRINCE",Two Pointer (1/3 - 2 pt),U18 Dolomiti Energia Trento,29,18
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:52,"LUMENA, PRINCE",Off Rebound (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,01:53,"MACHETTI, MARIO",Missed Three Pointer (0/3 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:09,"BARAK, ERAN",Turnover (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:15,"FALL, OUMAR",Out,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:15,"LUMENA, PRINCE",In,U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:15,"SHALMON, IFTAH",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:15,"DODO, NITAY",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:15,,Time Out (2),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:15,"BARAK, ERAN",Foul Drawn (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:15,"MACHETTI, MARIO",Foul (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:15,"BARAK, ERAN",Steal (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:16,"HASSAN, PATRICK",Turnover (2),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:25,"FALL, OUMAR",Def Rebound (2),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:27,"GOLD, TAMIR",Missed Two Pointer (2/3 - 4 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:37,"BERG, ROEE",Def Rebound (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:39,"PLACINSCHI, CESARE",Missed Two Pointer (2/4 - 4 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:55,"PLACINSCHI, CESARE",Def Rebound (2),U18 Dolomiti Energia Trento,,
