local,visitor,period,time,player,action,side,score_home,score_away
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:07,"NIANG, CHEICKH",Out,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:07,"MACHETTI, MARIO",Foul Drawn (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:07,"FAYE, MEISSA",Foul (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:24,"SOLIMAN, NATHAN",Two Pointer (3/4 - 6 pt),U18 Pole France INSEP Paris,15,5
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:24,"SOLIMAN, NATHAN",Off Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:26,"ELOUMA, JUNIOR",Missed Three Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:30,"GABRIEL DES BORDES, NATEO",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:35,"NIANG, CHEICKH",Missed Three Pointer (0/3 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:38,"KOUAKOU-HEUGUE, NOA",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:38,"SOLIMAN, NATHAN",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:38,"FAYE, MEISSA",Turnover (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:38,"GABRIEL DES BORDES, NATEO",Steal (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:40,"HASSAN, PATRICK",Turnover (2),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:53,"ELOUMA, JUNIOR",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:53,"YIMGA MOUKOURI, HUGO",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:53,"NIANG, CHEICKH",Foul Drawn (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:53,"YIMGA MOUKOURI, HUGO",Turnover (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,03:53,"YIMGA MOUKOURI, HUGO",Offensive Foul (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:04,"KOUAKOU-HEUGUE, NOA",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:07,"NIANG, CHEICKH",Missed Three Pointer (0/2 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:20,"FALL, OUMAR",Out,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:20,"LUMENA, PRINCE",In,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:20,"MASDIEU-REYNAERT, YAEL",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:20,"GABRIEL DES BORDES, NATEO",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:20,"MASDIEU-REYNAERT, YAEL",Turnover (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:29,"HASSAN, PATRICK",Assist (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:31,"PLACINSCHI, CESARE",Two Pointer (1/1 - 2 pt),U18 Dolomiti Energia Trento,13,5
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:35,"HASSAN, PATRICK",Steal (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:37,"MASDIEU-REYNAERT, YAEL",Turnover (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:43,"KOUAKOU-HEUGUE, NOA",Foul Drawn (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:43,"PLACINSCHI, CESARE",Foul (2),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:53,"KOUAKOU-HEUGUE, NOA",Foul Drawn (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:57,"PLACINSCHI, CESARE",Foul (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:57,,Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,04:59,"FALL, OUMAR",Missed Three Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"MACHETTI, MARIO",In,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"TRIGGIANI, VITTORIO",Out,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"PLACINSCHI, CESARE",In,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"CURBELO, VALENTIN",Out,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"MASDIEU-REYNAERT, YAEL",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"FAYE, MEISSA",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"SOLIMAN, NATHAN",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"MAHOP, MATTHYS",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"HASSAN, PATRICK",Foul Drawn (2),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:07,"MAHOP, MATTHYS",Foul (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:20,"TRIGGIANI, VITTORIO",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:25,"YIMGA MOUKOURI, HUGO",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:44,"SOLIMAN, NATHAN",Def Rebound (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:46,"TRIGGIANI, VITTORIO",Missed Three Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:55,"YIMGA MOUKOURI, HUGO",Assist (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,05:59,"SOLIMAN, NATHAN",Two Pointer (2/3 - 4 pt),U18 Pole France INSEP Paris,13,3
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,06:19,"FALL, OUMAR",Assist (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,06:21,"CURBELO, VALENTIN",Two Pointer (1/2 - 2 pt),U18 Dolomiti Energia Trento,11,3
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,06:41,"NTOWOA, ELIE",Assist (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,06:44,"KOUAKOU-HEUGUE, NOA",Two Pointer (1/2 - 2 pt),U18 Pole France INSEP Paris,11,1
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,06:59,"YIMGA MOUKOURI, HUGO",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:02,"HASSAN, PATRICK",Missed Two Pointer (0/2 - 1 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:11,"HOUINDO, CAMERON",Out,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:11,"NTOWOA, ELIE",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:11,,Off Rebound (2),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:11,"HOUINDO, CAMERON",Block (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:11,"CURBELO, VALENTIN",Shot Rejected (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:11,"CURBELO, VALENTIN",Missed Two Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:18,"FALL, OUMAR",Off Rebound (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:20,"NIANG, CHEICKH",Missed Three Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:31,"KOUAKOU-HEUGUE, NOA",Assist (3),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:33,"HOUINDO, CAMERON",Two Pointer (2/3 - 7 pt),U18 Pole France INSEP Paris,9,1
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:45,"HASSAN, PATRICK",Free Throw In (1/2 - 1 pt),U18 Dolomiti Energia Trento,7,1
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:45,"HASSAN, PATRICK",Missed Free Throw (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:45,"HASSAN, PATRICK",Foul Drawn (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:45,"KOUAKOU-HEUGUE, NOA",Foul (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:52,"HOUINDO, CAMERON",Assist (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,07:54,"SOLIMAN, NATHAN",Two Pointer (1/2 - 2 pt),U18 Pole France INSEP Paris,7,0
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:13,"HOUINDO, CAMERON",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:15,"HASSAN, PATRICK",Missed Two Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:33,"HOUINDO, CAMERON",Free Throw In (3/3 - 5 pt),U18 Pole France INSEP Paris,5,0
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:33,"KOUAKOU-HEUGUE, NOA",Assist (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:33,"HOUINDO, CAMERON",Free Throw In (2/2 - 4 pt),U18 Pole France INSEP Paris,4,0
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:33,"HOUINDO, CAMERON",Foul Drawn (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:33,"CURBELO, VALENTIN",Foul (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:34,"KOUAKOU-HEUGUE, NOA",Off Rebound (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:35,"HOUINDO, CAMERON",Missed Two Pointer (1/2 - 3 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:49,"HASSAN, PATRICK",Turnover (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,08:56,"NIANG, CHEICKH",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:01,"SOLIMAN, NATHAN",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:04,,Off Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:04,"KOUAKOU-HEUGUE, NOA",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:04,"KOUAKOU-HEUGUE, NOA",Off Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:05,"MAHOP, MATTHYS",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:10,"SOLIMAN, NATHAN",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:14,"CURBELO, VALENTIN",Missed Three Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:35,"HOUINDO, CAMERON",Free Throw In (1/1 - 3 pt),U18 Pole France INSEP Paris,3,0
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:35,"HOUINDO, CAMERON",Foul Drawn (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:35,"FALL, OUMAR",Foul (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:36,"KOUAKOU-HEUGUE, NOA",Assist (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:36,"HOUINDO, CAMERON",Two Pointer (1/1 - 2 pt),U18 Pole France INSEP Paris,2,0
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,09:52,"NIANG, CHEICKH",Turnover (1),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,1er Cuarto,10:00,,,U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,2º Cuarto,00:02,"TRIGGIANI, VITTORIO",Def Rebound (2),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,2º Cuarto,00:03,"GABRIEL DES BORDES, NATEO",Missed Three Pointer (0/2 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,2º Cuarto,00:16,"SOLIMAN, NATHAN",Def Rebound (5),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,2º Cuarto,00:19,"MACHETTI, MARIO",Missed Three Pointer (1/4 - 6 pt),U18 Dolomiti Energia Trento,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,2º Cuarto,00:32,"HOUINDO, CAMERON",Assist (3),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Dolomiti Energia Trento,2º Cuarto,00:34,"SOLIMAN, NATHAN",Two Pointer (6/8 - 12 pt),U18 Pole France INSEP Paris,35,22
