local,visitor,period,time,player,action,side,score_home,score_away
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:09,"PLATTEEUW, IAN",Off Rebound (2),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:11,"GIL , MARTI",Missed Three Pointer (0/1 - 0 pt),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:18,"PLATTEEUW, IAN",Steal (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:20,"STOJKOVIC, LAZAR",Turnover (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:32,"MARJANOVIC, STEFAN",Steal (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:34,"BALDE, DANIEL",Turnover (2),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:35,"BALDE, DANIEL",Def Rebound (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:37,"MARJANOVIC, STEFAN",Missed Three Pointer (1/3 - 8 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,04:49,"PETROVICS, HELMUTS",Turnover (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:05,"MARJANOVIC, STEFAN",Free Throw In (1/2 - 8 pt),U18 Crvena Zvezda Belgrade,15,8
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:05,"MARJANOVIC, STEFAN",Missed Free Throw (0/1 - 7 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:05,"MARJANOVIC, STEFAN",Foul Drawn (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:05,"BALDE, DANIEL",Foul (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:09,"PAVLOVIC, NOVAK",Foul Drawn (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:09,"GIL , MARTI",Foul (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:12,"MARJANOVIC, STEFAN",Def Rebound (2),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:14,"BALDE, DANIEL",Missed Two Pointer (0/1 - 3 pt),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:37,,Def Rebound (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:39,"MARJANOVIC, STEFAN",Missed Three Pointer (1/2 - 7 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:52,"GIL , MARTI",In,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:52,"RUIZ, HUMBERTO",Out,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:52,"LUCIC, ANDREJ",Foul Drawn (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,05:52,"RUIZ, HUMBERTO",Foul (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,06:00,"BALDE, DANIEL",Assist (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,06:02,"DEL CASTILLO, ERIC",Two Pointer (1/2 - 2 pt),U18 Joventut Badalona,14,8
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,06:13,"NEDELJKOVIC, ALEKSEJ",Assist (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,06:16,"LUCIC, ANDREJ",Three Pointer (1/1 - 5 pt),U18 Crvena Zvezda Belgrade,14,6
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,06:23,"STOJKOVIC, LAZAR",Steal (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,06:26,"BALDE, DANIEL",Turnover (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,06:45,"PETROVICS, HELMUTS",Def Rebound (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,06:47,"STOJKOVIC, LAZAR",Missed Three Pointer (0/1 - 0 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:10,"DEL CASTILLO, ERIC",Assist (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:12,"BALDE, DANIEL",Three Pointer (1/1 - 3 pt),U18 Joventut Badalona,11,6
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:25,,Time Out (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:27,"LUCIC, ANDREJ",Two Pointer (1/2 - 2 pt),U18 Crvena Zvezda Belgrade,11,3
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:35,"MEREBASHVILI, SABA",Out,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:35,"BALDE, DANIEL",In,U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:37,"PAVLOVIC, NOVAK",Def Rebound (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:37,"STOJKOVIC, LAZAR",Block (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:37,"MEREBASHVILI, SABA",Shot Rejected (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:37,"MEREBASHVILI, SABA",Missed Two Pointer (0/1 - 1 pt),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,07:54,"NEDELJKOVIC, ALEKSEJ",Two Pointer (1/1 - 2 pt),U18 Crvena Zvezda Belgrade,9,3
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:06,"PAVLOVIC, NOVAK",Steal (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:08,"MEREBASHVILI, SABA",Turnover (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:14,"PLATTEEUW, IAN",Off Rebound (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:14,"MEREBASHVILI, SABA",Missed Free Throw (1/2 - 1 pt),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:14,"MEREBASHVILI, SABA",Free Throw In (1/1 - 1 pt),U18 Joventut Badalona,7,3
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:14,"MEREBASHVILI, SABA",Foul Drawn (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:14,"STOJKOVIC, LAZAR",Foul (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:36,"MARJANOVIC, STEFAN",Two Pointer (2/2 - 7 pt),U18 Crvena Zvezda Belgrade,7,2
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:36,"MARJANOVIC, STEFAN",Off Rebound (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:37,"LUCIC, ANDREJ",Missed Two Pointer (0/1 - 0 pt),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:37,"STOJKOVIC, LAZAR",Foul Drawn (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:37,"MEREBASHVILI, SABA",Foul (1),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:44,"MARJANOVIC, STEFAN",Def Rebound (1),U18 Crvena Zvezda Belgrade,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,08:47,"PETROVICS, HELMUTS",Missed Two Pointer (0/1 - 0 pt),U18 Joventut Badalona,,
U18 Crvena Zvezda Belgrade,U18 Joventut Badalona,1er Cuarto,09:02,"MARJANOVIC, STEFAN",Two Pointer (1/1 - 5 pt),U18 Crvena Zvezda Belgrade,5,2
