local,visitor,period,time,player,action,side,score_home,score_away
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:04,"KOUAKOU-HEUGUE, NOA",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:17,"YIMGA MOUKOURI, HUGO",Steal (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:19,"ISAILOVIC, STEFAN",Turnover (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:33,"MAHOP, MATTHYS",Turnover (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:33,"FAYE, MEISSA",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:33,"HOUINDO, CAMERON",Block (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:34,"DANILOVIC, UROS",Shot Rejected (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:34,"DANILOVIC, UROS",Missed Two Pointer (1/4 - 3 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,06:55,"YIMGA MOUKOURI, HUGO",Turnover (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:07,"DANILOVIC, UROS",Free Throw In (1/1 - 3 pt),U18 Partizan Mozzart Bet Belgrade,6,3
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:07,"FAYE, MEISSA",In,U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:07,"SOLIMAN, NATHAN",Out,U18 Pole France INSEP Paris,,
